24Hours,Year,JulianDay,Time,Air Temp(¡É),RH(%),Wind Dir(Deg),Wind Spd<m/s),Gust(m/s),GustTime,Solar Rad(W/§³),Pressure(hPa),Visibility(km),Rain(mm)
100,2010,5,1200,-5.571,71.8,314.3,26.56,3.7,1133,226.2,1023,14.22,0
100,2010,5,1300,-4.618,67.57,334.6,36.08,3.887,1259,274.5,1022,14.19,0
100,2010,5,1400,-4.669,67.15,330.5,27.85,4.987,1320,362.5,1022,14.18,0
100,2010,5,1500,-4.509,64.98,326.2,34.98,3.9,1426,370.8,1022,14.18,0
100,2010,5,1600,-4.565,65.74,322.6,34.51,3.812,1513,285.4,1022,14.18,0
100,2010,5,1700,-5.126,67.53,329.7,33.68,3.212,1649,136.2,1022,13.85,0
100,2010,5,1800,-6.508,74.6,341.5,35.27,2.287,1709,8.28,1023,13.51,0
100,2010,5,1900,-6.897,72.7,321.8,26.64,3.475,1822,0.83,1023,13.33,0
100,2010,5,2000,-7.95,79.1,34.29,12.37,1.3,1928,0.994,1023,13.2,0
100,2010,5,2100,-8.98,86,50.83,6.278,0.65,2018,1.233,1023,13.06,0
100,2010,5,2200,-9.66,85.6,0,0,0,2101,1.042,1024,12.94,0
100,2010,5,2300,-10.77,87.2,0,0,0,2201,0.83,1024,12.83,0
100,2010,5,2400,-11.31,88.7,0,0,0,2301,1.18,1024,12.75,0
100,2010,6,100,-11.13,88.5,0,0,0,1,1.24,1024,12.71,0
100,2010,6,200,-11.73,89,0,0,0,101,1.069,1024,12.67,0
100,2010,6,300,-13.33,89.2,183.4,0.737,0.487,206,1.022,1025,12.64,0
100,2010,6,400,-13.49,89.7,0,0,0,301,1.032,1024,12.62,0
100,2010,6,500,-13.85,89.3,0,0,0,401,0.871,1024,12.6,0
100,2010,6,600,-14.9,88.4,0,0,0,501,1.257,1025,12.57,0
100,2010,6,700,-14.91,88.4,0,0,0,601,1.207,1025,12.55,0
100,2010,6,800,-15.7,87.6,0,0,0,701,2.989,1025,12.53,0
100,2010,6,900,-15.36,87.4,160.4,4.027,0.962,821,29.56,1026,12.52,0
100,2010,6,1000,-11.91,86,210.4,0.997,0.737,956,142.5,1026,14.45,0
100,2010,6,1100,-9.63,77.4,253.8,3.44,0.475,1031,247.6,1026,14.37,0
100,2010,6,1200,-8.23,67.79,313.9,48.75,1.637,1129,337.4,1026,14.3,0
100,2010,6,1300,-6.62,62.07,319.5,53.34,3.4,1259,419,1025,14.26,0.2
100,2010,6,1400,-5.953,61,318.1,36.53,3.3,1306,417.2,1024,14.23,0.1
100,2010,6,1500,-5.438,58.92,325.5,35.62,4.3,1421,332,1024,14.22,0
100,2010,6,1600,-5.188,57.19,323.5,26.87,4.425,1504,240.4,1024,14.22,0
100,2010,6,1700,-5.475,57.36,335.1,29.58,3.475,1640,132.9,1025,14.22,0
100,2010,6,1800,-7.04,67.29,352.8,45.66,2.75,1716,8.93,1025,13.57,0
100,2010,6,1900,-8.08,76.4,347.4,28.04,1.362,1821,0.504,1025,13.39,0
100,2010,6,2000,-8.93,80.6,59.92,5.456,0.85,1951,0.974,1026,13.24,0
100,2010,6,2100,-9.51,77.7,0,0,0,2001,0.759,1026,13.11,0
100,2010,6,2200,-9.94,80.7,0,0,0,2101,0.773,1026,12.98,0
100,2010,6,2300,-9.94,81.3,0,0,0,2201,0.736,1026,12.88,0
100,2010,6,2400,-9.9,81.8,0,0,0,2301,0.675,1026,12.79,0
100,2010,7,100,-10.35,84.9,0,0,0,1,0.911,1026,12.74,0
100,2010,7,200,-10.4,86.5,210.4,0.007,1.187,153,0.699,1026,12.7,0
100,2010,7,300,-10.09,87.9,0,0,0,201,0.847,1026,12.67,0
100,2010,7,400,-9.89,88.3,0,0,0,301,1.042,1026,12.65,0
100,2010,7,500,-9.94,88.7,0,0,0,401,0.965,1026,12.63,0
100,2010,7,600,-10.25,89,0,0,0,501,0.548,1026,12.61,0
100,2010,7,700,-10.23,88.8,0,0,0,601,0.8,1026,12.59,0
100,2010,7,800,-10,88,0,0,0,701,2.215,1027,12.57,0
100,2010,7,900,-9.8,81.5,315.3,8.52,1.712,842,33.77,1027,12.56,0
100,2010,7,1000,-9.02,70.1,355.4,25.55,0.875,950,133.7,1027,13.32,0
100,2010,7,1100,-8.01,62.86,345.1,17.08,1.437,1004,297.3,1028,14.3,0
100,2010,7,1200,-6.707,58.37,298.4,35.43,1.762,1108,395.4,1027,14.24,0
100,2010,7,1300,-6.046,56.61,292.9,39.85,2.675,1209,431.2,1026,14.22,0.3
100,2010,7,1400,-5.025,55.35,312.6,50.78,3.05,1355,418.1,1026,14.19,0.2
100,2010,7,1500,-4.23,53.16,332.2,44.47,3.425,1457,350.7,1026,14.18,0.1
100,2010,7,1600,-4.156,51.98,327.5,33.34,3.212,1504,244,1026,14.18,0
100,2010,7,1700,-4.801,53.92,358.4,49.34,2.65,1622,104.3,1026,13.91,0
100,2010,7,1800,-6.291,60.01,25.1,26.4,2.087,1706,8.51,1026,13.55,0
100,2010,7,1900,-7.35,64.76,34.53,19.01,1.325,1804,0.497,1026,13.38,0
100,2010,7,2000,-8.15,68.49,0,0,0,1901,0.669,1026,13.23,0
100,2010,7,2100,-9.81,76.1,0,0,0,2001,0.934,1026,13.1,0
100,2010,7,2200,-10.88,82.5,0,0,0,2101,1.19,1026,12.98,0
100,2010,7,2300,-11.73,84.2,0,0,0,2201,1.139,1026,12.86,0
100,2010,7,2400,-11.79,84.6,0,0,0,2301,0.908,1026,12.77,0
100,2010,8,100,-12.73,88.5,40.58,1.749,0.425,22,0.793,1025,12.71,0
100,2010,8,200,-13.87,90,0,0,0,101,0.82,1025,12.66,0
100,2010,8,300,-14.49,89.1,0,0,0,201,1.052,1025,12.64,0
100,2010,8,400,-14.4,88.8,0,0,0,301,0.763,1025,12.6,0
100,2010,8,500,-14.99,88.3,0,0,0,401,0.931,1025,12.58,0
100,2010,8,600,-15.15,88.4,44.9,0,0.262,553,1.18,1025,12.56,0
100,2010,8,700,-15.89,87.5,0,0,0,601,1.13,1026,12.53,0
100,2010,8,800,-16.2,87.3,0,0,0,701,2.868,1026,12.5,0
100,2010,8,900,-15.83,86.8,0,0,0,801,36.45,1026,12.5,0
100,2010,8,1000,-13.21,85.4,0,0,0,901,149.2,1026,14.47,0
100,2010,8,1100,-10.81,81.4,1.621,10.21,1.187,1019,251.9,1026,14.4,0
100,2010,8,1200,-8.55,75.7,324,26.92,2.187,1142,365.7,1025,14.34,0
100,2010,8,1300,-6.294,68.46,316.2,30.36,2.487,1257,414.6,1024,14.28,0
100,2010,8,1400,-4.057,61.2,333.9,35.82,2.562,1318,410.4,1024,14.22,0.1
100,2010,8,1500,-2.416,56.73,336.9,40.19,1.925,1454,340.2,1023,14.16,0.1
100,2010,8,1600,-1.842,57.24,320.2,31.56,2.187,1525,229.8,1023,14.14,0
100,2010,8,1700,-2.151,61.94,342,39.33,3.075,1659,90.3,1024,13.75,0
100,2010,8,1800,-3.331,69.39,325.9,23.69,2.075,1704,8.43,1024,13.49,0
100,2010,8,1900,-4.204,74.5,0,0,0,1801,1.145,1024,13.33,0
100,2010,8,2000,-5.724,80.7,0,0,0,1901,0.917,1024,13.19,0
100,2010,8,2100,-6.606,85,0,0,0,2001,0.722,1025,13.06,0
100,2010,8,2200,-7.24,88.2,0,0,0,2101,0.652,1025,12.95,0
100,2010,8,2300,-8.42,91.2,0,0,0,2201,0.427,1025,12.85,0
100,2010,8,2400,-8.34,92.7,158.3,0.029,0.312,2352,1.176,1025,12.77,0
100,2010,9,100,-9.24,92.3,0,0,0,1,0.87,1025,12.72,0
100,2010,9,200,-10.27,92.7,0,0,0,101,1.028,1026,12.68,0
100,2010,9,300,-10.69,91.9,0,0,0,201,0.709,1026,12.65,0
100,2010,9,400,-11.14,91.1,0,0,0,301,0.531,1026,12.63,0
100,2010,9,500,-11.22,90.9,0,0,0,401,0.813,1025,12.6,0
100,2010,9,600,-11.48,91.1,0,0,0,501,0.874,1026,12.57,0
100,2010,9,700,-11.17,91.3,0,0,0,601,0.81,1026,12.54,0
100,2010,9,800,-11.76,90.5,32.58,3.909,1.95,759,2.853,1025,12.51,0
100,2010,9,900,-10.98,91.3,28.68,6.495,1.437,801,35.77,1026,12.5,0
100,2010,9,1000,-9.82,91.7,0,0,0,901,104.8,1026,14.37,0
100,2010,9,1100,-7.85,92.3,319.5,18.91,1.337,1046,156.2,1026,14.33,0
100,2010,9,1200,-6.618,91.4,320.1,3.318,1.5,1138,131.1,1025,14.31,0
100,2010,9,1300,-5.753,86.7,330.6,17.71,2.337,1246,154,1025,14.29,0
100,2010,9,1400,-4.777,79.5,314.6,8.39,1.925,1303,124.2,1024,14.27,0
100,2010,9,1500,-3.693,74.4,324,10.4,1.587,1412,124.2,1024,14.24,0
100,2010,9,1600,-2.718,70.6,331.6,14.77,1.45,1556,99.2,1024,14.2,0
100,2010,9,1700,-2.934,74.5,316.5,1.657,0.7,1607,48.87,1025,13.68,0
100,2010,9,1800,-3.097,75.6,0,0,0,1701,4.413,1026,13.46,0
100,2010,9,1900,-3.196,77.1,0,0,0,1801,1.092,1026,13.3,0
100,2010,9,2000,-3.225,78.6,0,0,0,1901,1.132,1026,13.17,0
100,2010,9,2100,-3.523,81.1,0,0,0,2001,0.903,1026,13.05,0
100,2010,9,2200,-4.653,85.4,0,0,0,2101,1.031,1027,12.93,0
100,2010,9,2300,-5.355,89.7,0,0,0,2201,1.089,1027,12.84,0
100,2010,9,2400,-6.191,91.9,0,0,0,2301,0.796,1027,12.77,0
100,2010,10,100,-7.45,93.3,0,0,0,1,0.91,1027,12.73,0
100,2010,10,200,-8.04,93.9,0,0,0,101,1.146,1027,12.69,0
100,2010,10,300,-8.82,93.2,0,0,0,201,1.092,1027,12.67,0
100,2010,10,400,-8.84,93.1,0,0,0,301,1.028,1027,12.63,0
100,2010,10,500,-9.45,92.5,0,0,0,401,0.746,1027,12.6,0
100,2010,10,600,-9.67,92.3,22.68,0.009,0.412,526,1.049,1028,12.57,0
100,2010,10,700,-9.12,92.5,0,0,0,601,1.146,1028,12.54,0
100,2010,10,800,-8.48,92.9,0,0,0,701,1.572,1028,12.53,0
100,2010,10,900,-7.49,93.6,0,0,0,801,24.73,1029,12.52,0
100,2010,10,1000,-6.547,94.1,305,0,0.25,947,62.41,1030,12.67,0
100,2010,10,1100,-5.386,94.5,187.9,0,0.25,1050,105.7,1029,14.29,0
100,2010,10,1200,-4.338,92.3,49.7,14.49,1.225,1151,147.9,1028,14.27,0
100,2010,10,1300,-2.84,81.7,349.2,34.27,3.15,1243,301.7,1027,14.22,0
100,2010,10,1400,-1.813,73.8,313.7,20.79,3.287,1341,315.5,1026,14.17,0.2
100,2010,10,1500,-1.448,73.6,250.1,45.17,2.475,1403,220.9,1026,14.15,0.1
100,2010,10,1600,-0.738,69.86,185.9,9.28,2.162,1504,160.2,1026,14.14,0.1
100,2010,10,1700,-0.819,69.84,0,0,0,1601,75.7,1026,13.67,0
100,2010,10,1800,-1.684,72.6,0,0,0,1701,5.944,1026,13.45,0
100,2010,10,1900,-2.598,77.3,0,0,0,1801,0.722,1026,13.29,0
100,2010,10,2000,-3.004,79.6,0,0,0,1901,1.374,1026,13.15,0
100,2010,10,2100,-3.842,84.2,0,0,0,2001,1.233,1026,13.03,0
100,2010,10,2200,-4.775,87.5,0,0,0,2101,1.048,1026,12.91,0
100,2010,10,2300,-5.429,91.3,0,0,0,2201,0.984,1026,12.82,0
100,2010,10,2400,-6.198,92.2,46.88,0.526,0.387,2306,0.773,1026,12.77,0
100,2010,11,100,-5.805,92,0,0,0,1,1.112,1026,12.73,0
100,2010,11,200,-7.42,93.4,0,0,0,101,1.115,1026,12.69,0
100,2010,11,300,-7.55,94.3,0,0,0,201,1.159,1026,12.67,0
100,2010,11,400,-7.62,94.3,0,0,0,301,0.847,1025,12.65,0
100,2010,11,500,-8.35,94,43.38,4.385,0.562,444,1.045,1025,12.62,0
100,2010,11,600,-7.63,94.1,8.84,2.147,0.275,516,0.823,1025,12.59,0
100,2010,11,700,-8.23,93.2,0,0,0,601,0.669,1024,12.57,0
100,2010,11,800,-8.23,93.4,0,0,0,701,2.621,1024,12.53,0
100,2010,11,900,-7.92,93.4,0,0,0,801,37.05,1024,12.53,0
100,2010,11,1000,-6.463,94,28.71,18.01,0.987,914,139.2,1025,14.32,0
100,2010,11,1100,-4.605,91.8,208.5,8.4,1.95,1043,221.6,1024,14.25,0
100,2010,11,1200,-2.48,78.9,239.9,0.008,0.237,1141,199.5,1024,14.23,0
100,2010,11,1300,-1.29,65.33,0,0,0,1201,143.6,1023,14.2,0.1
100,2010,11,1400,-0.959,62.52,316.2,21.5,2.95,1357,156.4,1023,14.18,0.1
100,2010,11,1500,-0.809,63.21,309.3,21.01,4.075,1415,147.7,1022,14.17,0.1
100,2010,11,1600,-0.504,65.47,321.2,25,3.15,1542,122.3,1022,14.16,0
100,2010,11,1700,-0.614,67.14,344.6,26.17,1.925,1609,50.58,1022,13.63,0
100,2010,11,1800,-1.088,70.6,7.59,27.31,1.237,1751,4.359,1022,13.43,0
100,2010,11,1900,-1.615,73.6,359.7,22.57,1.487,1842,1.095,1023,13.27,0
100,2010,11,2000,-1.653,75.9,337.5,20.03,1.975,1927,1.182,1022,13.14,0
100,2010,11,2100,-1.681,76.7,334,23.26,4.5,2056,1.249,1023,13.01,0
100,2010,11,2200,-1.991,70.4,339.6,35.12,4.387,2113,1.021,1023,12.91,0
100,2010,11,2300,-2.648,72.9,334.9,27,4.025,2232,0.93,1024,12.83,0
100,2010,11,2400,-4.124,74.8,355.1,48.95,2.587,2340,0.772,1023,12.78,0
100,2010,12,100,-5.102,77.7,38.08,47.21,1.887,53,0.904,1023,12.74,0
100,2010,12,200,-5.304,75.9,357.3,45.44,2.712,147,1.398,1023,12.71,0
100,2010,12,300,-5.754,79.6,13.59,34.85,2.737,212,1.334,1023,12.68,0
100,2010,12,400,-6.231,78.4,8.84,26.26,1.9,354,1.324,1023,12.66,0
100,2010,12,500,-6.719,77.3,348.8,33.81,2.45,409,0.837,1023,12.63,0
100,2010,12,600,-7.04,78.7,340.3,24.41,0.887,530,1.283,1022,12.6,0
100,2010,12,700,-7.37,79,344.1,35.85,2.112,654,0.8,1023,12.57,0
100,2010,12,800,-7.78,79.6,331,3.487,1.075,702,2.086,1023,12.53,0
100,2010,12,900,-7.9,82.1,330.7,15.54,2.15,831,31.48,1024,12.53,0
100,2010,12,1000,-7.78,77.6,320.6,29.9,4.312,956,159,1024,12.92,0
100,2010,12,1100,-6.918,57.84,312.2,21.56,4.512,1034,334.8,1024,14.28,0
100,2010,12,1200,-5.613,33.06,320.7,30.74,3.9,1134,430.4,1022,14.23,0
100,2010,12,1300,-5.648,33.21,304,25.04,5.375,1218,471.2,1021,14.22,0
100,2010,12,1400,-5.03,36.43,310.7,24.1,5.55,1337,463.4,1019,14.21,0
100,2010,12,1500,-4.707,39.98,322.4,25.02,4.85,1415,388.5,1019,14.21,0
100,2010,12,1600,-4.505,40.44,325.4,26.47,3.437,1516,234.1,1019,14.2,0
100,2010,12,1700,-5.015,44.63,343.2,35.09,1.987,1601,80.2,1019,13.76,0
100,2010,12,1800,-6.538,49.95,313.4,3.564,1.387,1711,11.26,1018,13.52,0
100,2010,12,1900,-7.98,54.17,0,0,0,1801,0.8,1019,13.36,0
100,2010,12,2000,-8.48,55.83,0,0,0,1901,0.618,1019,13.22,0
100,2010,12,2100,-9.28,62.02,0,0,0,2001,1.395,1019,13.09,0
100,2010,12,2200,-9.21,64.74,0,0,0,2101,1.18,1019,12.97,0
100,2010,12,2300,-9.23,64.88,0,0,0,2201,1.116,1020,12.86,0
100,2010,12,2400,-9.12,61.98,333.7,8.34,2.275,2344,0.689,1019,12.77,0
100,2010,13,100,-10.38,62.97,358.5,3.832,1.25,31,0.897,1019,12.72,0
100,2010,13,200,-11.52,63.87,0,0,0,101,1.549,1020,12.68,0
100,2010,13,300,-12.81,68.78,0,0,0,201,1.523,1020,12.64,0
100,2010,13,400,-13.4,71.5,0,0,0,301,1.718,1020,12.61,0
100,2010,13,500,-13.8,69.85,0,0,0,401,1.203,1021,12.58,0
100,2010,13,600,-15.12,74.9,0,0,0,501,1.667,1021,12.55,0
100,2010,13,700,-14.96,74.6,0,0,0,601,1.096,1022,12.52,0
100,2010,13,800,-14.56,79.4,0,0,0,701,3.533,1023,12.48,0
100,2010,13,900,-14.32,81.8,324.2,2.261,1.212,840,36.01,1023,12.47,0
100,2010,13,1000,-12.63,74.9,306,11.32,2.887,940,186,1024,14.46,0
100,2010,13,1100,-11.52,67.51,315.4,26.26,4.7,1044,328,1025,14.4,0
100,2010,13,1200,-10.4,63.77,312.6,21.63,4.1,1113,412.3,1024,14.37,0
100,2010,13,1300,-8.63,57.04,335.3,33.92,3.9,1241,470.1,1024,14.33,0
100,2010,13,1400,-7.94,56.47,327.6,27.96,3.725,1347,416,1023,14.31,0
100,2010,13,1500,-7.86,56.73,331.1,31.76,4.3,1417,264.2,1023,14.3,0
100,2010,13,1600,-8.14,58.14,328.7,29.28,4.637,1527,161.4,1024,14.3,0
100,2010,13,1700,-8.29,57.82,324.7,34.77,3.85,1634,136.1,1025,14.24,0
100,2010,13,1800,-9.49,65.03,331.1,55.74,2.3,1714,14.33,1025,13.65,0
100,2010,13,1900,-10.56,69.5,76.8,1.659,0.675,1803,1.384,1026,13.47,0
100,2010,13,2000,-10.82,78.5,40.34,20.84,1.187,1923,0.8,1026,13.32,0
100,2010,13,2100,-11.05,85.5,0,0,0,2001,0.78,1027,13.19,0
100,2010,13,2200,-12,86,0,0,0,2101,1.341,1027,13.06,0
100,2010,13,2300,-12.59,86.8,0,0,0,2201,1.445,1028,12.94,0
100,2010,13,2400,-13.42,88.1,0,0,0,2301,0.958,1028,12.83,0
100,2010,14,100,-14.14,88.5,0,0,0,1,1.398,1028,12.74,0
100,2010,14,200,-14.51,88.6,0,0,0,101,1.133,1028,12.69,0
100,2010,14,300,-15.68,86.9,0,0,0,201,0.918,1028,12.65,0
100,2010,14,400,-15.71,87.1,0,0,0,301,1.449,1028,12.61,0
